iter	Passed	Remaining
446	1107	1369
447	1108	1365
448	1109	1362
449	1111	1358
450	1115	1358
451	1117	1354
452	1118	1350
453	1119	1346
454	1121	1342
455	1122	1338
456	1123	1335
457	1124	1331
458	1126	1327
459	1131	1328
460	1133	1324
461	1134	1320
462	1135	1316
463	1136	1313
464	1137	1309
465	1139	1305
466	1140	1301
467	1144	1300
468	1145	1297
469	1147	1293
470	1148	1289
471	1149	1286
472	1151	1282
473	1152	1278
474	1153	1274
475	1154	1271
476	1156	1267
477	1161	1267
478	1162	1264
479	1163	1260
480	1164	1256
481	1166	1253
482	1167	1249
483	1168	1246
484	1170	1242
485	1171	1238
486	1173	1236
487	1175	1232
488	1176	1229
489	1177	1225
490	1178	1222
491	1180	1218
492	1181	1215
493	1183	1211
494	1188	1212
495	1189	1208
496	1190	1205
497	1191	1201
498	1193	1197
499	1194	1194
500	1195	1190
501	1196	1187
502	1198	1183
503	1202	1183
504	1204	1180
505	1205	1176
506	1206	1173
507	1208	1170
508	1210	1167
509	1211	1163
510	1212	1160
511	1213	1156
512	1218	1156
513	1219	1153
514	1221	1150
515	1222	1146
516	1223	1143
517	1224	1139
518	1226	1136
519	1227	1133
520	1228	1129
521	1233	1129
522	1234	1125
523	1236	1122
524	1237	1119
525	1238	1116
526	1239	1112
527	1241	1109
528	1242	1106
529	1243	1102
530	1248	1102
531	1250	1100
532	1251	1096
533	1253	1093
534	1254	1090
535	1255	1087
536	1257	1083
537	1258	1080
538	1262	1079
539	1265	1077
540	1266	1074
541	1268	1071
542	1269	1068
543	1270	1065
544	1271	1061
545	1273	1058
546	1277	1057
547	1279	1055
548	1281	1052
549	1282	1049
550	1283	1046
551	1285	1043
552	1286	1039
553	1287	1036
554	1289	1033
555	1291	1031
556	1292	1028
557	1294	1025
558	1295	1022
559	1297	1019
560	1298	1016
561	1299	1012
562	1300	1009
563	1304	1008
564	1305	1005
565	1307	1002
566	1308	999
567	1309	996
568	1310	992
569	1312	989
570	1313	986
571	1314	983
572	1316	980
573	1317	977
574	1319	974
575	1320	971
576	1321	968
577	1322	965
578	1324	962
579	1325	959
580	1326	956
581	1328	953
582	1332	952
583	1333	949
584	1334	946
585	1335	943
586	1337	940
587	1338	937
588	1339	934
589	1340	931
590	1342	928
591	1343	926
592	1347	924
593	1348	921
594	1349	918
595	1351	915
596	1352	912
597	1353	909
598	1354	906
599	1356	904
600	1357	901
601	1358	898
602	1362	896
603	1363	893
604	1364	891
605	1366	888
606	1367	885
607	1368	882
608	1369	879
609	1371	876
610	1372	873
611	1373	871
612	1375	868
613	1376	865
614	1377	862
615	1379	859
616	1380	856
617	1381	854
618	1383	851
619	1384	848
620	1385	845
621	1386	842
622	1388	840
623	1389	837
624	1391	834
625	1392	831
626	1393	829
627	1394	826
628	1396	823
629	1397	820
630	1398	818
631	1402	816
632	1403	813
633	1405	811
634	1406	808
635	1407	805
636	1408	802
637	1409	800
638	1411	797
639	1412	794
640	1413	791
641	1417	790
642	1418	787
643	1419	784
644	1421	782
645	1422	779
646	1423	776
647	1425	774
648	1426	771
649	1427	768
650	1428	766
651	1432	764
652	1433	761
653	1435	759
654	1436	756
655	1438	754
656	1440	752
657	1442	749
658	1444	747
659	1449	746
660	1450	743
661	1451	741
662	1453	738
663	1454	736
664	1455	733
665	1457	730
666	1458	728
667	1459	725
668	1461	723
669	1462	720
670	1464	717
671	1465	715
672	1467	712
673	1468	710
674	1470	707
675	1471	705
676	1472	702
677	1476	701
678	1477	698
679	1479	696
680	1480	693
681	1482	691
682	1483	688
683	1484	685
684	1485	683
685	1487	680
686	1491	679
687	1492	676
688	1493	674
689	1495	671
690	1496	669
691	1497	666
692	1499	664
693	1500	661
694	1501	659
695	1505	657
696	1507	655
697	1508	652
698	1509	650
699	1511	647
700	1512	645
701	1513	642
702	1515	640
703	1516	637
704	1517	635
705	1521	633
706	1522	630
707	1523	628
708	1525	625
709	1526	623
710	1527	620
711	1529	618
712	1530	616
713	1531	613
714	1535	612
715	1537	609
716	1538	607
717	1539	604
718	1541	602
719	1542	600
720	1544	597
721	1545	595
722	1546	592
723	1551	591
724	1552	588
725	1553	586
726	1555	584
727	1556	581
728	1558	579
729	1559	576
730	1560	574
731	1562	572
732	1567	570
733	1568	568
734	1569	565
735	1571	563
736	1572	561
737	1574	558
738	1575	556
739	1576	554
740	1580	552
741	1582	550
742	1583	547
743	1585	545
744	1586	543
745	1587	540
746	1589	538
747	1590	535
748	1592	533
749	1595	531
750	1597	529
751	1598	527
752	1600	524
753	1601	522
754	1602	520
755	1604	517
756	1605	515
757	1607	513
758	1610	511
759	1613	509
760	1614	507
761	1615	504
762	1617	502
763	1618	499
764	1620	497
765	1621	495
766	1622	492
767	1626	491
768	1627	489
769	1629	486
770	1630	484
771	1632	481
772	1633	479
773	1635	477
774	1636	475
775	1637	472
776	1642	471
777	1643	469
778	1644	466
779	1646	464
780	1648	462
781	1649	459
782	1651	457
783	1652	455
784	1653	452
785	1655	450
786	1657	448
787	1659	446
788	1660	444
789	1662	441
790	1663	439
791	1665	437
792	1669	435
793	1671	433
794	1672	431
795	1674	429
796	1675	426
797	1677	424
798	1678	422
799	1679	419
800	1681	417
801	1685	416
802	1686	413
803	1688	411
804	1689	409
805	1690	407
806	1692	404
807	1694	402
808	1695	400
809	1696	398
810	1699	396
811	1701	393
812	1702	391
813	1704	389
814	1707	387
815	1708	385
816	1712	383
817	1714	381
818	1716	379
819	1717	377
820	1718	374
821	1720	372
822	1722	370
823	1723	368
824	1728	366
825	1729	364
826	1731	362
827	1732	359
828	1734	357
829	1736	355
830	1737	353
831	1738	351
832	1742	349
833	1743	347
834	1744	344
835	1746	342
836	1747	340
837	1749	338
838	1750	335
839	1751	333
840	1753	331
841	1757	329
842	1758	327
843	1760	325
844	1761	323
845	1763	320
846	1764	318
847	1765	316
848	1767	314
849	1769	312
850	1772	310
851	1773	308
852	1775	306
853	1776	303
854	1778	301
855	1779	299
856	1781	297
857	1783	295
858	1784	292
859	1787	291
860	1789	288
861	1791	286
862	1792	284
863	1793	282
864	1795	280
865	1797	278
866	1799	276
867	1805	274
868	1806	272
869	1808	270
870	1809	268
871	1811	265
872	1812	263
873	1814	261
874	1818	259
875	1819	257
876	1821	255
877	1822	253
878	1823	251
879	1825	248
880	1827	246
881	1828	244
882	1829	242
883	1833	240
884	1835	238
885	1836	236
886	1837	234
887	1839	232
888	1841	229
889	1842	227
890	1844	225
891	1848	223
892	1849	221
893	1850	219
894	1852	217
895	1853	215
896	1855	213
897	1856	210
898	1858	208
899	1859	206
900	1863	204
901	1864	202
902	1865	200
903	1867	198
904	1869	196
905	1870	194
906	1871	191
907	1873	189
908	1877	187
909	1878	185
910	1880	183
911	1881	181
912	1883	179
913	1884	177
914	1885	175
915	1887	173
916	1888	170
917	1889	168
918	1891	166
919	1893	164
920	1894	162
921	1895	160
922	1896	158
923	1898	156
924	1899	154
925	1901	151
926	1902	149
927	1904	147
928	1905	145
929	1906	143
930	1908	141
931	1909	139
932	1911	137
933	1912	135
934	1913	133
935	1918	131
936	1919	129
937	1921	126
938	1922	124
939	1924	122
940	1926	120
941	1927	118
942	1928	116
943	1932	114
944	1934	112
945	1935	110
946	1936	108
947	1938	106
948	1939	104
949	1940	102
950	1942	100
951	1943	98
952	1947	96
953	1948	93
954	1950	91
955	1951	89
956	1952	87
957	1954	85
958	1955	83
959	1956	81
960	1958	79
961	1959	77
962	1963	75
963	1964	73
964	1966	71
965	1967	69
966	1968	67
967	1970	65
968	1971	63
969	1972	61
970	1974	58
971	1977	56
972	1979	54
973	1980	52
974	1981	50
975	1983	48
976	1984	46
977	1985	44
978	1987	42
979	1988	40
980	1989	38
981	1993	36
982	1994	34
983	1996	32
984	1997	30
985	1998	28
986	2000	26
987	2001	24
988	2003	22
989	2004	20
990	2008	18
991	2009	16
992	2010	14
993	2012	12
994	2013	10
995	2014	8
996	2016	6
997	2017	4
998	2018	2
999	2019	0
